BPEL,TS,ENDSYSTEM
UpdateSalesLeadBP,LDAPUserSearchTrigger,LDAP
UpdateSalesLeadBP,CRMContactTS,CRM
UpdateSalesLeadBP,CRMCarDetailsTS,CRM
UpdateSalesLeadBP,LDAPUserUpdateTrigger,LDAP
ReadRetailerUserService,LDAPUserSearchTrigger,LDAP
ReadRetailerUserService,CRMContactTS,CRM
ReadRetailerUserService,CRMTrainingAccreditationTS,CRM
ReadCarConfigurationService,LDAPUserSearchTrigger,LDAP
ReadCarConfigurationService,CRMCarConfigurationTS,CRM
ReadCarConfigurationService,IntegrationDBTS,IDB
ReadCarConfigurationService,RetrivePriceTS,Maxim
DeleteCarConfigurationService,LDAPUserSearchTrigger,LDAP
DeleteCarConfigurationService,CRMCarConfigurationTS,CRM
ReadCarOrderService,LDAPUserSearchTrigger,LDAP
ReadCarOrderService,ReadCarOrderTS,Maxim
UpdateWorkPackage,ValidateUserService,LDAP
UpdateWorkPackage,SMSCRRCodesTS,CRM
UpdateWorkPackage,SMSWorkPackageTS,CRM
GetMdsUpdatePackages,ValidateUserService,LDAP
GetMdsUpdatePackages,GetMdsUpdatePackagesTS,IDB
RetrieveSalesRegions,ValidateUserService,LDAP
RetrieveSalesRegions,CRMTS,CRM
RetrieveTechnicalRequestList,ValidateUserService,LDAP
RetrieveTechnicalRequestList,SMSTechnicalRequestTS,CRM
RetrieveMcLarenCarsList,ValidateUserService,LDAP
RetrieveMcLarenCarsList,SMSVehicleTS,CRM
RetrieveAdditionalCostList,ValidateUserService,LDAP
RetrieveAdditionalCostList,SMSAdditionalCostTS,CRM
DeleteCodingInfo,ValidateUserService,LDAP
DeleteCodingInfo,DeleteCodingInfoTS,IDB
ReadServiceCampaign,ValidateUserService,LDAP
ReadServiceCampaign,SMSServiceCampaignTS,CRM
ReviseClaim,ValidateUserService,LDAP
ReviseClaim,SMSReviseClaimTS,CRM
ReadVehicle,ValidateUserService,LDAP
ReadVehicle,SMSVehicleTS,CRM
ReadVehicle,SMSVehicleRegistrationTS,CRM
ImportEntityData,ValidateUserService,LDAP
ImportEntityData,EmailSender,Email
ImportEntityData,ImportEntityDataTS,Maxim
RetrieveEntityList,ValidateUserService,LDAP
RetrieveEntityList,RetrieveCRMEntityListTS,CRM
ReadMaximRetailer,ValidateUserService,LDAP
ReadMaximRetailer,ReadMaximRetailerTS,Maxim
LDAPRetrieveGroupList,ValidateUserService,LDAP
LDAPRetrieveGroupList,LDAPRetrieveGroupListTS,LDAP
RetrieveMustReadDocumentList,ValidateUserService,LDAP
RetrieveMustReadDocumentList,RetrieveDocumentListTS,CMS
UploadJobDetails,UploadJobDetailsTS,OnTime - External
UploadJobDetails,OnTimeTS,OnTime - External
ReadAllocationOptions,LDAPUserSearchTrigger,LDAP
ReadAllocationOptions,ReadAllocationoptionTS,Maxim
PayClaim,LDAPUserSearchTrigger,LDAP
PayClaim,PayClaimTS,Maxim
PayClaim,MAIPayClaimTSService,MAXIMMAI
UpdatePartsRequest,ValidateUserService,LDAP
UpdatePartsRequest,UpdatePartsRequestTS,IDB
AllocationsVisibilityService,ValidateUserService,LDAP
AllocationsVisibilityService,AllocationsVisibilityTS,MAXIM
UpdateOrderedCarConfigService,UpdateCarConfiguration,CRM
UpdateOrderedCarConfigService,UpdateCarOrderTS,Maxim
UpdateOrderedCarConfigService,GetVariantTS,Maxim
CreateSalesLeadService,LDAPUserSearchTrigger,LDAP
CreateSalesLeadService,PasswordGenerator,LDAP
CreateSalesLeadService,LDAPUserAddTrigger,LDAP
CreateSalesLeadService,LDAPUserDeleteTrigger,LDAP
CreateSalesLeadService,CRMLeadTS,CRM
CreateSalesLeadService,LDAPUserUpdateTrigger,LDAP
ReadWorkPackage,ValidateUserService,LDAP
ReadWorkPackage,SMSWorkpackageTS,CRM
ReadWorkPackage,SMSServiceCampaignTS,CRM
ReadWorkPackage,SMSCRRCodesTS,CRM
UploadSessionFeedback,ValidateUserService,LDAP
UploadSessionFeedback,SMSVehicleTS,CRM
UploadSessionFeedback,SMSServiceReferenceTS,CRM
UploadSessionFeedback,SessionFeedBackTS,IDB
UploadSessionFeedback,CreateCodingInfoTS,Maxim
