JSP,ACTIONITEM,SCREEN
AllocationVisibility,Action, AllocationVisibility.jsp
AllocationVisibility,Update,EditAllocationVisibility.jsp
AssignCustomer,prerender,AssignCustomer.jsp
AssignCustomer,Assign Customer,Message.jsp
AssignCustomer,Back,QuotesList.jsp
Configurator,prerender,Configurator.jsp
Configurator,Back,Configurator.jsp
Configurator,Submit,FlashConfigurator.jsp
Configurator,Back,FlashConfigurator.jsp
Configurator,Submit,Configurator.jsp
CreateUpdateCustomer,prerender,CreateUpdateCustomer.jsp
CreateUpdateCustomer,Delete,CreateUpdateCustomer.jsp
CreateUpdateCustomer,Add,CreateUpdateCustomer.jsp
CreateUpdateCustomer,Back,CustomerList.jsp
CreateUpdateCustomer,Car Configurations,QuotesList.jsp
CreateUpdateCustomer,Change Owner,CreateUpdateCustomer.jsp
CreateUpdateCustomer,Back,CreateUpdateCustomer.jsp
CreateUpdateCustomer,No,CreateUpdateCustomer.jsp
CustomerDetails,Update Owner Details,CustomerDetails.jsp
CustomerDetails,Change Owner,CustomerDetails.jsp
CustomerDetails,Close,CustomerDetails.jsp
CustomerDetails,Confirm,CustomerDetails.jsp
CustomerList,Create New Customer,CreateUpdateCustomer.jsp
CustomerList,View Car Configuration(s),QuotesList.jsp
CustomerList,Create Car Configuration,Configurator.jsp
CustomerList,Back,QuoteDetails.jsp
CustomerList,Continue,CustomerList.jsp
EditAllocationVisibility,prerender,EditAllocationVisibility.jsp
EditAllocationVisibility,Back,AllocationVisibility.jsp
FlashConfigurator,prerender,FlashConfigurator.jsp
Message,prerender,Message.jsp
Message,Close,CustomerList.jsp
Message,Back,CreateUpdateCustomer.jsp
Message,Create Another Customer,CreateUpdateCustomer.jsp
Message,Create Configuration,Configurator.jsp
Message,Close,QuotesList.jsp
OrdersList,No,OrderList.jsp
QuoteDetails,Modify,FlashConfigurator.jsp
QuoteDetails,OK,QuoteDetails.jsp
QuoteDetails,Select Production Slot,SelectSlot.jsp
QuoteDetails,Proceed to Place Order,Message.jsp
QuotesList,Create Car Configuration,Configurator.jsp
QuotesList,Back,CustomerList.jsp
QuotesList,Yes,AssignCustomer.jsp
QuotesList,No,QuotesList.jsp
RetailAndRegistrationVehicle,Back,RetailAndRegistrationVehicle.jsp
RetailAndRegistrationVehicle,View Service History,RetailAndRegistrationVehicle.jsp
SelectSlot,Select Production Slot,QuoteDetails.jsp
SelectSlot,Back,QuoteDetails.jsp
SelectSlot,Place an Unscheduled Order,QuoteDetails.jsp
VehicleSearch,prerender,VehicleSearch.jsp
VehicleSearch,Close,VehicleSearch.jsp
VehicleSearch,View / Update Vehicle Information,RetailAndRegistrationVehicle.jsp
VehicleStatus,Report Vehicle Arrived,RetailAndRegistrationVehicle.jsp
VehicleStatus,Retail / Register Vehicle,RetailAndRegistrationVehicle.jsp
VehicleStatus,Download Vehicle Invoice Documents,VehicleStatus.jsp
VehicleStatus,Retail / Register Vehicle,VehicleStatus.jsp
VehicleStatus,No,VehicleStatus.jsp
Diagnostics,Download File,Diagnostics.jsp
Diagnostics,Diagnostics.fileExt,Diagnostics.jsp
