JSP,ACTIONITEM,CHAIN,BPEL
Configurator,Proceed to order,createCarConfiguration,CreateCarConfigurationService
Configurator,Save This Car,createCarConfiguration,CreateCarConfigurationService
Configurator,OK,readCarConfiguration,ReadCarConfigurationService
CreateUpdateCustomer,Save,create-customer,CreateSalesLeadService
CreateUpdateCustomer,Save,create-customer,UpdateSalesLeadBP
CreateUpdateCustomer,Yes,update-vehicle,Updatevehicle
CreateUpdateCustomer,Yes,change-Customer-On-Order,ChangeCustomerOnOrder
CustomerDetails,prerender,read-customer,ReadSalesLeadService
CustomerDetails,Change Owner,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
CustomerDetails,Confirm,read-customer,ReadSalesLeadService
CustomerList,prerender,customer-consents,CreateCustomerConsents
CustomerList,Search,retrieve-registration-numbers-list,RetrieveVehicleRegistrationList
CustomerList,View/Update Customer,read-customer,ReadSalesLeadService
CustomerList,View/Select Customer,read-customer,ReadSalesLeadService
FlashConfigurator,Confirm Submission,createCarConfiguration,CreateCarConfigurationService
OrdersList,prerender,retrieve-sales-regions,RetrieveSalesRegions
OrdersList,prerender,retrieve-account-list,RetrieveAccountList
OrdersList,Get Order Details,retrieveCarOrderList,RetrieveCarOrderListService
OrdersList,Search,retrieveCarOrderList,RetrieveCarOrderListService
OrdersList,View/Update Vehicle Order,readCarOrder,ReadCarOrderService
OrdersList,View Vehicle Order,readCarOrder,ReadCarOrderService
QuoteDetails,prerender,readCarConfiguration,ReadCarConfigurationService
QuoteDetails,prerender,read-customer,ReadSalesLeadService
QuoteDetails,prerender,retrieve-sales-regions,RetrieveSalesRegions
QuoteDetails,Back,retrieveCarConfigurationList,RetrieveCarConfigurationListService
QuoteDetails,Delete,deleteCarConfiguration,DeleteCarConfigurationService
QuoteDetails,Back,retrieveCarConfigurationList,RetrieveCarConfigurationListService
QuoteDetails,Place Order,createCarOrder,CreateCarOrderService
QuoteDetails,Back,retrieveCarConfigurationList,RetrieveCarConfigurationListService
QuoteDetails,Update Order Details,updateCarOrder,UpdateCarOrderService
QuotesList,prerender,read-customer,ReadSalesLeadService
QuotesList,Search,retrieveCarConfigurationList,RetrieveCarConfigurationListService
QuotesList,Action,readCarConfiguration,ReadCarConfigurationService
RetailAndRegistrationVehicle,prerender,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
RetailAndRegistrationVehicle,Update Retail/Registration Details,update-vehicle,Updatevehicle
RetailAndRegistrationVehicle,Update Registration Mark,update-vehicle,Updatevehicle
RetailAndRegistrationVehicle,Shipping Documentation,read-retailer-account,ReadRetailerAccountService
SalesQuota,prerender,retrieve-sales-regions,RetrieveSalesRegions
SalesQuota,prerender,retrieve-account-list,RetrieveAccountList
SalesQuota,prerender,retrieveCarOrderList,RetrieveCarOrderListService
SalesQuota,prerender,retrieve-allocation,RetrieveAllocationListService
SalesQuota,View/Update Vehicle Order,readCarOrder,ReadCarOrderService
SalesQuota,Schedule for Production,readCarOrder,ReadCarOrderService
SalesQuota,View/Update Vehicle Order,readCarOrder,ReadCarOrderService
SalesQuota,View/Update Configuration,readCarOrder,ReadCarOrderService
SelectSlot,prerender,retrieve-allocation,RetrieveAllocationListService
SelectSlot,Schedule for Production,change-allocation,ChangeAllocationService
VehicleSearch,Search,retrieve-registration-numbers-list,RetrieveVehicleRegistrationList
VehicleSearch,Search,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
VehicleStatus,prerender,retrieve-sales-regions,RetrieveSalesRegions
VehicleStatus,prerender,retrieve-account-list,RetrieveAccountList
VehicleStatus,prerender,retrieve-allocation,RetrieveAllocationListService
VehicleStatus,Search,retrieve-allocation,RetrieveAllocationListService
VehicleStatus,View Vehicle Order,readCarOrder,ReadCarOrderService
VehicleStatus,Yes,updateCarOrder,UpdateCarOrderService
GetMailPage.jsp,Submit,show_securityqa,LDAPUserSearchTrigger
Registration,Register,create-retailer,CreateRetailerUserService
BulletineDoc,preRender,retrieve_must_read_document_list,RetrieveMustReadDocumentList
BulletineDoc,preRender,retrieve_publish_document_list,RetrievePublishedDocumentList
Documentation,Download Document,read-document-properties,ReadDocumentProperties
CreateRetailer,Save,create-retailer,CreateRetailerUserService
DeactivateUser,Change Retailer User Status,deactivate-retailer,ChangeRetailerUserStatus
DeactivateUser,Change Retailer User Status,read-retailer,ReadRetailerUserService
RetailerList,Search,retrieve-retailers,RetrieveUserListService
RetailerList,View/Update Retailer User,read-retailer,ReadRetailerUserService
RetailerList,View Retailer User Roles,ldapUserSearch,LDAPUserSearchTriggerService
RetailerList,Change Retailer User Status,read-retailer,ReadRetailerUserService
RetailerList,Select Retailer Users,read-retailer,ReadRetailerUserService
UserDetailsEdit,Update,create-retailer,CreateRetailerUserService
AdditionalCostsParts,Delete Cost,create-update-additional-cost,CreateAdditionalCost
AdditionalCostsParts,Save,create-update-additional-cost,CreateAdditionalCost
Attachments,Download File,read-document,ReadDocument
Bulletins,Search,retrieve-service-campaign-list,RetrieveServiceCampaignList
CampaignSearch,Search,retrieve-work-package-list-queryBased,ReadEntitlement
CampaignSearch,View/Update Work Package,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
CampaignSearch,View Work Package,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
CreateServiceBooking,Create,retrieve-service-reference,RetrieveServiceReferenceList
CreateServiceBooking,Save,create-service-reference,CreateServiceReference
CreateServiceBooking,Yes,create-service-reference,CreateServiceReference
CreateUpdateECUInformation,Save,reate-update-ecu,NA
LaunchSIS,Yes,read-document,ReadDocument
LaunchSIS,Apply,integration-db,IntegrationDBTSService
McLarenCarList,preRender,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
McLarenCarList,View Service History,integration-db,IntegrationDBTSService
SearchTechnicalRequest,Search,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
SearchTechnicalRequest,View Technical Request,read-technical-request,ReadTechnicalRequest
SearchTechnicalRequest,View/Update Technical Request,read-technical-request,ReadTechnicalRequest
ServiceBookingDetails,Update Service Booking,integration-db,IntegrationDBTSService
ServiceBookingDetails,View Details,integration-db,IntegrationDBTSService
ServiceBookingSearch,Search,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
ServiceBookingSearch,View Service Booking,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
ViewMDSFeedBack,preRender,retrieve-mds-feedback,RetrieveSessionFeedbackList
ViewMDSFeedBack,View Session Feedback,read-mds-feedback,ReadSessionFeedback
ViewUpdateTechnicalRequest,Save,create-update-technical-request,CreateTechnicalRequest
WorkPackageList,preRender,retrieve-customers,RetrieveUserListService
WorkPackageList,View/Update Work Package,retrieve-service-reference,RetrieveServiceReferenceList
WorkPackageList,View Work Package,retrieve-service-reference,RetrieveServiceReferenceList
WorkPackageList,Associate to Current Service Booking,create-update-work-packag,CreateWorkPackage
WorkPackageSearch,Search,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
WorkPackageSearch,View/Update Work Package,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
WorkPackageSearch,View Work Packag,retrieve-mclaren-cars-list,RetrieveMcLarenCarsList
DownloadServlet,Download,ldap-authentication,LDAPUserSearchTriggerService
DownloadServlet,Download,ldap-authentication,LDAPAuthenticationService
DownloadServlet,Download,isAuthorized,IsAuthorized
DownloadServlet,Download,GetVersionURL,SharePoint
DownloadServlet,Download,create_audit_record,CreateAuditRecord
PartsRequest,prerender,read-parts-request,ReadPartsRequest
PartsRequest,Check Part Validity,check-part-number,PartsLookup
PartsRequest,Save,create-parts-request,CreatePartsRequest
